8003	30	24	42	-37	2	17	13	11	5	10	10	48	2	81	49	45	58	55	21	1	0	1
8005	23	20	12	-8	4	25	13	11	7	10	10	56	0	24	4	40	22	38	28	4	0	2
8006	18	8	29	-4	4	31	22	17	28	20	11	50	0	85	69	9	28	12	17	3	0	3
8007	29	-81	36	43	2	8	10	19	6	13	4	8	3	59	59	69	46	48	3	1	0	4
8008	16	3	28	-8	4	44	24	10	16	18	10	9	2	34	5	60	7	41	32	3	0	5
8009	51	20	11	-76	5	40	20	17	24	13	15	53	2	4	2	11	13	15	18	3	0	6
8010	19	23	23	-23	3	22	14	13	6	20	8	53	1	68	48	19	57	29	25	2	0	7
8011	32	-21	47	15	2	22	11	13	16	15	6	61	6	3	63	56	68	60	38	1	0	8
8013	41	-4	20	-2	3	11	14	10	17	10	14	2	2	42	25	29	21	26	13	3	0	9
8014	39	15	28	-92	2	3	12	10	5	10	7	6	4	43	75	46	69	34	4	1	0	10
8015	37	4	23	7	4	10	12	10	5	10	11	25	1	50	60	66	52	56	23	3	0	11
8017	29	15	34	-25	3	22	10	14	3	13	7	29	1	77	20	22	36	38	7	3	0	12
8018	35	-37	31	41	3	26	34	23	27	23	9	37	-3	11	39	18	19	24	30	2	0	13
8023	36	4	48	-87	2	27	29	20	18	17	17	29	7	53	76	26	77	20	5	1	0	14
8024	29	2	27	-18	3	33	16	12	16	12	10	60	5	17	35	59	30	67	39	4	0	15
8026	30	-35	38	64	2	27	13	12	2	10	13	14	7	70	68	37	67	32	18	3	0	16
8027	39	-38	12	20	2	39	22	15	19	22	13	39	-3	19	56	33	67	42	40	1	0	17
8029	26	-9	15	7	5	18	17	12	13	15	15	42	4	52	15	15	9	16	43	1	0	18
8030	50	24	15	-32	3	14	11	26	2	21	7	59	0	20	36	47	53	62	23	2	0	19
8031	31	28	16	-12	4	41	13	14	3	27	8	11	-3	84	24	27	26	4	25	2	0	20
8032	18	-12	39	-2	3	20	17	11	16	13	8	53	4	78	23	64	34	57	24	2	0	21
8034	16	29	47	-26	2	18	10	12	4	10	6	8	-2	54	13	29	25	27	4	3	0	22
8038	26	43	28	-25	3	6	10	11	2	10	5	35	-1	60	62	61	73	67	12	3	0	23
8039	26	-23	40	28	3	10	14	12	15	12	10	42	0	62	78	55	48	47	20	1	0	24
8041	17	2	9	-7	5	4	26	10	23	10	14	2	-1	50	14	50	24	31	6	3	0	25
8042	15	-6	11	6	5	14	13	10	23	19	10	49	-1	67	26	13	12	7	16	2	0	26
8044	40	12	26	-51	5	24	10	10	5	10	12	10	3	87	54	39	62	43	15	2	0	27
8046	11	33	49	-57	2	12	14	11	14	13	8	8	3	1	42	23	1	1	30	3	0	28
8049	43	-15	19	5	4	43	24	10	2	10	12	16	6	79	10	35	74	45	30	4	0	29
8050	17	-35	21	31	2	37	10	14	2	13	4	37	2	69	29	36	33	50	17	3	0	30
8053	30	4	21	0	4	23	21	11	3	10	13	23	-3	37	38	43	49	60	7	4	0	31
8055	35	-17	21	79	5	35	15	16	19	25	12	13	2	51	69	26	42	17	45	1	0	32
8056	24	38	35	-65	3	29	16	10	7	12	4	33	2	57	27	52	35	30	8	2	0	33
8057	41	29	38	-28	3	3	14	10	5	10	8	30	2	43	58	20	28	49	23	2	0	34
8058	7	-4	16	3	4	50	15	15	22	25	12	15	2	38	45	5	4	7	34	2	0	35
8060	56	43	22	-9	3	46	13	15	11	25	15	19	-1	46	32	12	63	22	24	3	0	36
8061	19	57	10	-9	1	23	17	11	10	16	3	54	0	69	42	37	44	33	14	1	0	37
8062	20	34	45	-39	4	46	10	16	4	10	10	45	3	23	1	6	43	28	34	3	0	38
8064	26	-22	36	56	2	7	18	12	16	11	5	18	1	66	37	67	5	29	7	2	0	39
8065	21	-1	25	-15	1	32	16	13	6	15	7	2	0	10	62	69	62	71	29	1	0	40
8066	29	31	66	-116	5	35	39	26	24	22	12	51	-1	58	9	3	31	18	26	3	0	41
8067	14	-17	53	72	2	33	10	10	10	11	3	52	1	22	79	72	79	73	48	2	0	42
8069	31	-78	32	69	3	36	19	16	26	22	13	12	4	39	65	32	45	40	8	3	0	43
8070	33	-36	16	61	2	2	11	10	7	12	3	4	-3	46	55	42	40	41	12	4	0	44
8071	17	-3	35	15	2	49	23	12	14	24	6	62	3	35	52	24	23	2	28	2	0	45
8072	33	16	10	-8	5	29	22	14	21	21	9	62	0	73	68	72	19	44	15	3	0	46
8082	41	-26	29	25	4	15	16	10	16	13	5	55	4	12	19	41	18	19	33	2	0	47
8083	17	-50	54	22	4	29	31	13	25	10	8	3	-1	53	42	55	15	8	7	2	0	48
8084	14	-10	15	12	4	5	11	11	7	10	12	6	0	63	73	28	66	53	8	3	0	49
8086	26	-22	27	44	2	14	15	12	11	11	5	27	2	31	68	53	60	63	10	2	0	50
8088	36	-69	27	69	3	45	20	15	19	19	16	9	2	23	18	9	11	5	37	3	0	51
8091	34	-52	16	13	2	32	21	17	19	20	8	36	7	14	3	38	6	28	22	1	0	52
8092	24	23	24	-5	1	17	10	10	8	13	12	60	-1	16	74	64	54	56	28	2	0	53
8093	18	-13	18	8	2	44	17	11	16	11	9	64	0	86	78	59	67	61	31	2	0	54
8094	51	-3	24	-8	4	27	18	12	16	13	5	25	-1	6	25	62	20	69	14	3	0	55
8095	50	-27	15	45	4	38	28	13	20	10	18	29	0	61	16	46	26	52	40	4	0	56
8096	20	11	55	-16	2	19	12	25	2	14	2	32	0	18	61	51	70	68	25	2	0	57
8098	33	-28	11	8	3	44	14	11	2	10	9	28	-2	21	67	35	64	36	36	2	0	58
8099	47	-26	29	31	1	21	11	10	3	10	2	41	0	63	77	68	79	63	25	2	0	59
8102	23	-59	47	12	5	46	25	10	20	10	7	5	1	35	6	21	14	24	42	3	0	60
8103	15	-9	33	6	4	52	13	18	2	30	12	21	-2	83	30	14	16	6	17	3	0	61
8105	27	27	34	-30	5	28	12	20	18	23	17	17	0	27	66	16	32	9	19	3	0	62
8109	18	-7	18	2	2	17	25	31	13	23	13	22	6	80	40	57	41	11	5	2	0	63
8110	28	-69	27	58	6	13	16	15	21	10	12	59	1	72	11	4	8	14	43	5	0	64
8111	44	15	54	-16	4	15	18	14	11	14	13	58	0	82	33	58	24	56	7	3	0	65
8114	21	-12	42	12	2	36	23	15	9	13	6	46	2	74	77	34	59	52	19	3	0	66
8115	29	3	41	-26	4	39	19	16	15	25	8	50	-3	44	36	42	10	3	24	2	0	67
8116	39	-32	34	18	2	17	16	10	5	10	12	7	7	13	31	71	29	72	27	3	0	68
8117	32	-9	13	12	3	25	13	13	7	24	5	40	2	33	70	53	27	51	16	3	0	69
8118	24	-36	32	32	5	12	22	12	19	14	14	57	5	25	37	61	38	21	8	2	0	70
8121	39	27	16	-4	2	42	13	14	2	11	7	56	2	56	17	10	55	25	18	2	0	71
8122	15	14	29	-33	2	23	10	10	2	10	5	26	0	36	73	73	65	74	9	2	0	72
8124	18	-20	28	30	1	28	13	12	2	10	3	43	0	40	57	64	72	50	18	1	0	73
8131	52	25	22	-6	2	8	21	14	6	17	12	59	4	64	47	68	56	64	4	1	0	74
8132	25	0	39	0	3	32	19	13	14	14	10	44	-5	45	12	31	39	25	22	4	0	75
8134	36	18	30	-13	5	38	15	17	14	16	16	24	3	8	34	59	2	34	35	2	0	76
8136	40	69	40	-62	5	25	18	12	13	10	5	47	0	46	42	44	61	56	36	2	0	77
8138	23	8	26	-9	4	47	17	13	13	10	14	59	0	65	64	22	78	33	19	2	0	78
8139	18	-1	43	0	5	.	18	11	7	15	12	.	-2	.	56	35	76	52	.	4	0	79
